case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
3,,,1191,
4,,,1191,
5,,,1191,
6,,,1191,
7,,,1191,
8,,,1191,
9,,,1191,
10,,,1191,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1190,,,
2,1190,,,
3,1190,,,
4,1190,,,
5,1190,,,
6,1190,,,
7,1190,,,
8,1190,,,
9,1190,,,
10,1190,,,
1,,1192,,
2,,1192,,
3,,1192,,
4,,1192,,
5,,1192,,
6,,1192,,
7,,1192,,
8,,1192,,
9,,1192,,
10,,1192,,
1,,,1191,
2,,,1191,
