case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 1,256,,,
size 2,256,,,
