case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
size 1,385,,,
size 2,385,,,
size 3,385,,,
size 4,385,,,
size 5,385,,,
size 6,385,,,
size 7,385,,,
size 8,385,,,
size 9,385,,,
size 10,385,,,
