case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,6312,,,
size 2,7020,,,
size 3,7740,,,
size 4,8454,,,
size 5,9168,,,
size 6,9876,,,
size 7,10596,,,
size 8,11316,,,
size 9,12030,,,
size 10,12738,,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
size 8,,4732,,
size 9,,4797,,
size 10,,4859,,
size 1,,4686,,
size 2,,4336,,
size 3,,4404,,
size 4,,4469,,
size 5,,4534,,
size 6,,4596,,
size 7,,4664,,
