case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,0.009999999999990905,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.009999999999990905,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.009999999999990905,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.010000000000218279,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,0.0,,,
1,0.0,,,
1024,0.0,,,
1024,0.0,,,
1048576,0.0,,,
1048576,0.0,,,
10485760,0.0,,,
10485760,0.0,,,
52428800,0.0,,,
52428800,0.0,,,
268435456,0.0,,,
268435456,0.0,,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.0,,
1024,,0.0,,
1048576,,0.0,,
1048576,,0.0,,
10485760,,0.0,,
10485760,,0.0,,
52428800,,0.0,,
52428800,,0.0,,
268435456,,0.0,,
268435456,,0.0,,
1,,0.0,,
1,,0.0,,
1024,,0.010000000000218279,,
1024,,0.0,,
