case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
3,,,1190,
4,,,1190,
5,,,1190,
6,,,1190,
7,,,1190,
8,,,1190,
9,,,1190,
10,,,1190,
1,,,,1191
2,,,,1191
3,,,,1191
4,,,,1191
5,,,,1191
6,,,,1191
7,,,,1191
8,,,,1191
9,,,,1191
10,,,,1191
1,1193,,,
2,1193,,,
3,1193,,,
4,1193,,,
5,1193,,,
6,1193,,,
7,1193,,,
8,1193,,,
9,1193,,,
10,1193,,,
1,,1193,,
2,,1193,,
3,,1193,,
4,,1193,,
5,,1193,,
6,,1193,,
7,,1193,,
8,,1193,,
9,,1193,,
10,,1193,,
1,,,1190,
2,,,1190,
