case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
base,256,,,
base,,151,,
base,,,444,
base,,,,151
