case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
base,5,,,
base,,5,,
base,,,5,
base,,,,5
