case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
base,7629,,,
base,,5140,,
base,,,9156,
base,,,,8826
