case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
base,,,156,
base,,,,43306
base,845,,,
base,,1103,,
