case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
base,1715,,,
base,,1020,,
base,,,1905,
base,,,,4324
