case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
in keygen,,,2370,
out keygen,,,316,
in public_keys,,,360,
in create_record,,,40,
in request_global_parameters,,,444,
out public_keys,,,,1
out create_record,,,,10494662
in request_record,,,,10494662
in request_authorities,,,,536
out request_record,,,,40
in keygen,,,,5397
out keygen,,,,316
in public_keys,,,,3198
in create_record,,,,40
in request_global_parameters,,,,151
out public_keys,1,,,
out create_record,10493465,,,
in request_record,10493465,,,
in request_authorities,536,,,
out request_record,40,,,
in keygen,1626,,,
out keygen,697,,,
in public_keys,1724,,,
in create_record,40,,,
in request_global_parameters,256,,,
out public_keys,,1,,
out create_record,,10490976,,
in request_record,,10490976,,
in request_authorities,,536,,
out request_record,,40,,
in keygen,,1267,,
out keygen,,316,,
in public_keys,,3137,,
in create_record,,40,,
in request_global_parameters,,151,,
out public_keys,,,1,
out create_record,,,10494992,
in request_record,,,10494992,
in request_authorities,,,536,
out request_record,,,40,
