case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY2_secret_attributes.dat,,,156,
USER1.der,,,,1190
.dat,,,,10485792
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
AUTHORITY1_secret_attributes.dat,,,,43306
AUTHORITY2_public_attributes.dat,,,,3198
.meta,,,,8826
USER2_secret_keys.dat,,,,10766
AUTHORITY1_public_attributes.dat,,,,3198
AUTHORITY2_secret_attributes.dat,,,,43306
USER1.der,1190,,,
.dat,10485792,,,
USER1_secret_keys.dat,1715,,,
gp.dat,256,,,
.meta,7629,,,
USER1_registration.dat,385,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY2_public_attributes.dat,1731,,,
USER2_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
USER1.der,,1192,,
.dat,,10485792,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
AUTHORITY1_secret_attributes.dat,,1103,,
AUTHORITY2_public_attributes.dat,,3143,,
.meta,,5140,,
USER2_secret_keys.dat,,2506,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY2_secret_attributes.dat,,1103,,
USER1.der,,,1192,
.dat,,,10485792,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
AUTHORITY1_secret_attributes.dat,,,156,
AUTHORITY2_public_attributes.dat,,,360,
.meta,,,9156,
USER2_secret_keys.dat,,,4699,
AUTHORITY1_public_attributes.dat,,,360,
