case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
3,,,1905,
4,,,1905,
5,,,1905,
6,,,1905,
7,,,1905,
8,,,1905,
9,,,1905,
10,,,1905,
1,,,,4324
2,,,,4324
3,,,,4324
4,,,,4324
5,,,,4324
6,,,,4324
7,,,,4324
8,,,,4324
9,,,,4324
10,,,,4324
1,1715,,,
2,1715,,,
3,1715,,,
4,1715,,,
5,1715,,,
6,1715,,,
7,1715,,,
8,1715,,,
9,1715,,,
10,1715,,,
1,,1020,,
2,,1020,,
3,,1020,,
4,,1020,,
5,,1020,,
6,,1020,,
7,,1020,,
8,,1020,,
9,,1020,,
10,,1020,,
1,,,1905,
2,,,1905,
