case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
dat,10485792,,,
meta,9166,,,
BOB.der,1193,,,
BOB_registration.dat,385,,,
BOB_secret_keys.dat,3201,,,
DOCTOR.der,1193,,,
DOCTOR_registration.dat,385,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY0_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY1_secret_attributes.dat,845,,,
gp.dat,256,,,
dat,,10485792,,
meta,,23299,,
BOB.der,,1192,,
BOB_secret_keys.dat,,2506,,
DOCTOR.der,,1191,,
DOCTOR_secret_keys.dat,,2506,,
AUTHORITY0_public_attributes.dat,,3143,,
AUTHORITY0_secret_attributes.dat,,1103,,
AUTHORITY1_public_attributes.dat,,3143,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
dat,,,10485792,
meta,,,11413,
BOB.der,,,1191,
BOB_secret_keys.dat,,,4699,
DOCTOR.der,,,1190,
DOCTOR_secret_keys.dat,,,4699,
AUTHORITY0_public_attributes.dat,,,360,
AUTHORITY0_secret_attributes.dat,,,156,
AUTHORITY1_public_attributes.dat,,,360,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
